conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
6443e9c8-3cc6-41d0-bad8-62afc8641155,Mud/Silt,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
4b5ba8f4-bd6f-4eba-bb2e-3056885422fe,Sand,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
70f8f32c-cf10-41ef-8358-933bb8549137,Granule,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
d07539a9-53dd-4a1d-bb67-bc812a2954dd,Pebble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
4a605ef0-9353-43d6-9813-03c8f9067e62,Cobble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
961f205c-623f-49d4-815b-a41373e5bef3,Boulder,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
e39107e8-fd56-46d7-8015-954f0e53e047,Sand/Granule,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
c17a5241-ba11-4b26-9d92-047b8a213b3d,Sand/Granule/Pebble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
bec2b94b-3f07-4d1b-a9ef-90a9bd5730cf,Pebble/Cobble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
a5531fc6-961b-4c73-89f7-4368435f1350,Cobble/Boulder,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
3f90f7f0-3384-4e04-87a7-a525b35400b7,Bedrock,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
87236699-6dde-42bd-a760-85d18bcc2141,Debris,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
