conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
4ee61d71-5aaf-4402-881d-7dfe4043729b,Passive collection using snare/sorbent,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f5ca3ca8-b573-4d1c-b581-153e1ef1b557,Flushing and passive collection,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
961cdfda-62b2-4937-98a2-3f70bc42fd6c,High pressure washing and passive collection,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
56e16c82-379c-4d7b-b8ee-48e6507baf3f,Manual wiping with sorbent pads/wipes,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
16063737-b606-4cf1-8e02-acda012f4916,Manual removal with small hand tools,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
7edd3286-be1f-424f-b9af-7465ee17d15b,Manual removal with shovels/rakes,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
0ce1310b-5bb2-4ee7-9aec-e9568e7d74f9,Manual tilling with rakes,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
7b86f7c8-a0ef-461e-abfa-722274f93b64,Vegetation cutting and removal,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
55a3fb34-2da2-4819-841c-6fd4da78e194,Mechanical tilling,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
7dd04f8d-52d5-4156-9802-59470543378a,Mechanical removal,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
216a5386-adda-4f43-9113-baae3925bd08,Burning,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
