conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
a0d6635b-44af-4b89-8326-6698fc7d4dfd,Estuarine,,ESI_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
edf325ac-d345-4969-9541-e3c27790129e,1A,Exposed rocky shores/banks,ESI_1,Index,Polaris
43850ac7-1ca2-4aff-91e0-ae594f38b261,1B,Exposed, solid man-made structures,ESI_1,Index,Polaris
91138263-0575-4a65-a72e-ec96959998db,1C,Exposed rocky cliffs with boulder talus base,ESI_1,Index,Polaris
66ee10f5-6058-4b19-bfb5-fbbe614b42ae,2A,Exposed wave-cut platforms in bedrock, mud, or clay,ESI_1,Index,Polaris
0f50ab25-cd9a-48fd-89b5-bf6ad63860f7,2B,Exposed scarps and steep slopes in clay,ESI_1,Index,Polaris
a683d7f0-a07f-4b50-a9fb-a9197fd1ba41,3A,Fine to medium-grained sand beaches,ESI_1,Index,Polaris
8f0143bc-6545-4eaf-a42c-694ca4f071bf,3B,Scarps and steep slopes in sand,ESI_1,Index,Polaris
ee8b8d0b-7f18-45c0-8959-eabeb934445f,3C,Tundra cliffs,ESI_1,Index,Polaris
96b01b5a-e228-40f2-9bd7-6c53e58d507c,4,Coarse-grained sand beaches,ESI_1,Index,Polaris
67bdfe36-4612-408d-afc6-d91e94e1f9e3,5,Mixed sand and gravel beaches/banks,ESI_1,Index,Polaris
2349f0d7-6150-4d70-9972-f92d849f5036,6A,Gravel beaches,ESI_1,Index,Polaris
104889ba-5748-4539-ba35-0c2a5ba541cb,6B,Riprap,ESI_1,Index,Polaris
99ccb943-8543-43e6-8390-81603b4b8b45,6C,SE Alaska Riprap,ESI_1,Index,Polaris
2d3018cb-450c-48f8-9824-eff19a78a60e,7,Exposed tidal flats,ESI_1,Index,Polaris
efcb46d2-c745-41d1-b155-19e659209f19,8A,Sheltered scarps in bedrock, mud, or clay,ESI_1,Index,Polaris
f98c215f-e99a-4d96-a5ad-a774f39934a1,8B,Sheltered, solid man-made structures,ESI_1,Index,Polaris
9485ac0f-dad1-40c0-88b5-35cfe0eddb60,8C,Sheltered riprap,ESI_1,Index,Polaris
