conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
68cce736-6b6e-4efe-8909-6844220aefad,1. Natural recovery,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
2a1910d9-143f-4f6f-94bf-910a1b9dafc0,2. Flooding,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
d2d3f5ee-ac8a-411d-b0bc-d9ab93e59747,3. Low-pressure, cold wash,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
00b39866-d5ec-4cc8-ba98-6c79654eae4b,4. Low-pressure, hot/warm wash,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ebb63ef0-d2ff-49c4-870a-9f8c0bc23ebe,5. High-pressure, cold wash,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ee26fdcf-83ec-4ae4-acd3-327578d8660d,6. High-pressure, hot/warm wash,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
9e334111-48d5-4be6-af17-50cc1a2de03f,7. Steam cleaning,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
a763e57d-b888-4b65-bc19-44e2938b88d7,8. Sandblasting,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
58d67430-7df9-47d2-930e-430d117b1808,9. Manual removal,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
e70da1fe-99c0-4d80-96f8-db1881d0cf85,10. Vacuums,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
0196b3b2-5750-42c6-9737-0d4707df2ed4,11. Mechanical removal,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
1be4c6f9-75bd-45d6-9ab6-affd2b82deed,12. Vegetation removal,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f3e9c398-c33c-48be-8f65-7395d8e3c191,13. Passive sorbent,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f28be682-0d55-4f0e-a282-9178a0ed13b3,14. Tilling/Aeration,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
2649ebc0-a346-4745-8604-7c656fb0cf89,15. Surf washing/Sediment reworking,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
670c133f-05dc-47bc-9f60-f63179378556,16. Burning,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f2f627eb-8e64-48d6-850e-0fb16901b455,17. Dispersants,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
86a89e34-b4d1-4471-88a1-5b5733bd8346,18. Shoreline cleaners,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
b22ad6ed-236a-43db-9421-5075bd5d6271,19. Solidifiers,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
a9a2addd-c3fc-4015-98d9-7a74cca2d8f3,20. Bioremediation/Nutrient enrichment,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
