conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
e8a72d1c-ffde-40ea-9a04-61fdb6a09d4f,Not Applicable,NA,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
41e8a5cc-2fb0-4414-8ad2-b752d2342089,Clay/Mud,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
47c59781-078f-4f99-9362-c4dd2f1e7e7a,Sand,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
b11b9544-df66-4d14-8ec2-6984a231f45e,Sand/Granule/Pebble,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
15ef4582-b662-4f11-b054-d3af41d25faa,Pebble/Cobble,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
115bbda0-0dc5-4a6f-907e-24879d88b17a,Cobble/Boulder,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
6ddd40d6-97dc-49c4-a744-a55fcb9fa47b,Boulder,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
107564aa-bf61-4f09-8c64-4ada61c33f6d,Bedrock,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
bfa69c07-f12d-4dab-aceb-599ed1c15569,Vegetation,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
00b05e11-b517-4a7d-b371-ea71d996c465,Manmade: Impermeable,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
2982902a-4de5-448d-8696-e5242b72bf70,Manmade: Permeable,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f23a4686-9148-47ea-8ff2-0545cede8dbd,Rubble (Riprap),,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
762fb516-99db-4e7e-9ec2-146da36140cd,Seawall/Sheet,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
