conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
13619760-543b-4111-b963-ed42cd97deb9,None,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
218e979d-820f-4f1b-8488-33c3ce31a01e,Slips, trips, falls,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
d7808e46-158b-43eb-bf5d-e6554b7c1429,Heat stress,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
1dea8113-43be-4413-97d1-8eecf70889d2,Cold stress,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
222c2e4e-ff3c-4a28-bca5-5fa4e92d053d,Heavy machinery,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ff91d4b1-9a56-4030-842a-7ad303882113,Working in water,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
abaed822-2405-4f17-9d9a-403b356d81ef,Limited access/facilities,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
51fcf925-8984-481a-ad5e-7392033ffedf,Remote,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
a4227688-29fb-4513-98ef-d427a9027878,Boat transportation,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
542fc6f4-8d04-42ab-abea-7de2122d2c34,Other,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
