conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
35a3b6f7-c8e4-455d-a7e9-71ee91bca161,NOO,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
71d9a756-1141-49b1-9ef8-e4af3bd6a802,NFT,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
150c37f5-b1ba-42e3-bc4e-5d71e7861056,Monitor and Maintenance,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
e72d1ba6-6162-41c9-a57b-c57cb9eae8c2,STR (General),,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
bd55566c-6027-4947-afee-1d2454cd1309,STR (Specific),,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
27f485b6-b95c-47be-8170-28d312a8589a,STR (Continue),,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ec027ba1-9285-4e23-8a3f-363fefd6615c,Environmental Hold,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
fbbaee4d-94e6-492b-916f-bedb9e423481,Land Owner Visit - NFT,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f90d7db5-3296-4ceb-9cd3-ce91a429c6c2,Land Owner Visit - Treatment Requested,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f67dd878-ad94-48b2-bb69-8e5daefd9931,Final Signoff - Passed,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f12978d8-0546-4d8e-8810-88977f9a4951,Final Signoff - Failed,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
5e2e7485-015e-4923-991e-e4695e3bc883,Pre-Inspection NFT,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
c9138192-57f0-42df-94b1-243c9792e70d,Land Owner Visit - NOO,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
45c8935a-effb-4d2b-abb5-d49b1f730ae7,Access Prohibited,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
e46ee37f-3497-4ac6-849b-4375d0fb6e67,SIR1,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
862c606b-1413-4765-b210-71c249f6a4f5,SIR2,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
626b8756-5e8d-4d22-8f66-71a73b4642cb,SIR UC Approved,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
b6d07c75-6112-4e6e-9441-78ba77fa50a6,PIST,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
85ece5fe-2fc9-4816-a571-9a1db5a79f33,Partitioned,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
