conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
cc61bf88-7fa1-49f3-af40-d015b53757de,Shoreline/Lake/River/Stream,,SEASON_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
d10a2899-355d-4abd-bcbc-08ff3b08f184,Wet,,SEASON_1,Index,Polaris
c468cb3e-fb78-4d11-932f-26774fc8803d,Dry,,SEASON_1,Index,Polaris
901e6d99-c947-4264-a06d-61d165e49112,Winter/Ice,,SEASON_1,Index,Polaris
73e21aab-59d7-43a0-a72d-921baa2b7e28,Coral/Mangrove,,SEASON_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
515d7a58-229f-4053-b2dd-5d8a07a81d6f,Wet,,SEASON_5,Index,Polaris
1c640bfe-5da8-41b7-a478-086531175096,Dry,,SEASON_5,Index,Polaris
661f89b9-8a02-42f6-b15b-f0fe803ac001,Arctic,,SEASON_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
de97baf5-1f48-46f0-bcb5-3f6d1bee9665,Open water,,SEASON_8,Index,Polaris
fe725876-a93c-4d33-a8ec-ff76de2366be,Freeze Up Transistion,,SEASON_8,Index,Polaris
eed4b75b-8b76-4a45-9349-0f79502ff00b,Frozen Period,,SEASON_8,Index,Polaris
53f64ec7-e11a-4a73-8143-ec4c0491f354,Breakup - Thaw,,SEASON_8,Index,Polaris
