conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
8ac97fd2-068e-4ee9-b40e-b40fd5e3fe01,Mud,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
91d35452-69d5-405f-823a-12c8f254e1cf,Peat/Organics,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
33c50e4a-2635-4f6c-afe3-3918d76f9c71,Sand,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
5b87313b-af80-415a-b533-ddae9dc2b62e,Shell Hash,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
9e3d9bc2-88b8-4105-af53-c91411940560,Granule,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
8bc9e0ab-8c94-4b2d-963f-9b86e43cdeb3,Pebble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
9b943067-2ad0-4d10-91ff-b9a18ef58bcf,Cobble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
690358af-5217-4ac0-92a6-c4e6187bcc9e,Boulder,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
92db0fc8-a36b-4577-9368-2ba46b872490,Sand/Granule,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
7f7fb61c-671e-43a2-9132-e463026b32f9,Sand/Granule/Pebble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
7c31f592-0b9a-48be-b1c9-e986bac3914d,Pebble/Cobble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
5b385f8c-73fe-421f-a58f-418a89961958,Cobble/Boulder,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
bb79c2dd-d846-45f8-a72e-aed3c7aa0966,Bedrock,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
c8215d73-ef2e-41e4-ac8a-ecc0eda5c7e1,Riprap,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
5a37ae10-940c-4e95-89f1-ef3143bf9e06,Piling,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
3c282983-e5ae-4322-a6e3-d281867c12ab,Seawall/Sheet,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
797e078f-7fa8-4916-bcd4-4d22e795777b,Manmade: Impermeable,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
b1b8d056-0e5e-4684-80c5-cb6a2ed7ae1f,Manmade: Permeable,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
b1f1e8a7-b5b7-4d93-8c37-ad720930627d,Vegetation,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
87ccf9ef-250f-4eab-a8f5-d2f37f294268,Trees/shrubs,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
dc3ba0ae-567d-4632-9a4b-62e5d79ca2d2,Mangrove,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
aac9dee5-691e-4c0b-8e87-263431c4f967,Other,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
