conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
61dd0e2e-7b6d-41a2-b5a7-efaa5f3b6816,Mud,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
c188b01d-a47c-4eb3-80e7-6474e4c91c0d,Sand,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
77169dcd-2bde-4ada-891d-2ed901f177ac,Shell Hash,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
92bf3d5d-a620-47a7-b5b8-0ef972dd0966,Granule,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
e8436461-8463-487e-bebf-71bc4c69ddf7,Pebble,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
1798c1ef-a43c-47ab-884d-ac58437dc092,Cobble,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
0d7ac67f-e1c3-4a2a-b3a9-15fb4f4fb1de,Boulder,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
73e2314e-582b-4f29-8d3a-655044d7945a,Mud/Sand/Granule,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
cdce46bf-7ce7-4025-853c-68fad7a8303c,Pebble/Cobble,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
4f5c068a-7156-4e60-b396-01fea9ee7b08,Cobble/Boulder,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
68fb9fac-46a7-4551-ae15-938b8be6c745,Vegetation,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ca27dc0f-4ccb-46f7-b96c-c9c273846635,Other,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
