conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
e43e97b8-a676-4edc-95c4-f13006c22c0d,NO,No oil ,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
5db32f12-e27d-4153-99b1-25373799b457,FR,Fresh,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
5aebcc1f-d038-403b-8283-6546293f5f7d,MS,Mousse,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
a0051abf-e985-4578-8fcf-4e435b7211b5,TB,Tar balls,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
f0f474b1-5709-459f-bd6e-ccd7cc270105,PT,Patties (tar or mousse),ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
44293de4-5898-4cfe-80c5-cfc8b64d758c,TC,Tar,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
58936aa4-efe1-47fc-893d-61bdf5acc8d7,SR,Surface Oil Residue,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
a9e046dd-b081-4985-8bd0-f71e0f0856ea,AP,Asphalt Pavement,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
3c7ba975-7b57-4040-a306-5d4454b0a608,DB/LG,Debris - logs,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
4f4e0a67-5713-446d-b74d-67414c447d4d,DB/VG,Debris - vegetation,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
9486d634-6c7f-4d57-a3ed-c1428f1adb7a,DB/RB,Debris - rubbish/garbage,ZONE_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
