conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ACROSS_SHORE_LOCATION_1,Shoreline Tidal Zone,,ACROSS_SHORE_LOCATION_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
ACROSS_SHORE_LOCATION_2,SUTZ,Supra tidal zone,ACROSS_SHORE_LOCATION_1,Index,Polaris
ACROSS_SHORE_LOCATION_3,UITZ,Upper tidal zone,ACROSS_SHORE_LOCATION_1,Index,Polaris
ACROSS_SHORE_LOCATION_4,MITZ,Middle tidal zone,ACROSS_SHORE_LOCATION_1,Index,Polaris
ACROSS_SHORE_LOCATION_5,LITZ,Lower tidal zone,ACROSS_SHORE_LOCATION_1,Index,Polaris
ACROSS_SHORE_LOCATION_6,SubTZ,Sub tidal zone,ACROSS_SHORE_LOCATION_1,Index,Polaris
ACROSS_SHORE_LOCATION_7,River/Stream Bank Zone,,ACROSS_SHORE_LOCATION_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
ACROSS_SHORE_LOCATION_8,OB,Over bank,ACROSS_SHORE_LOCATION_7,Index,Polaris
ACROSS_SHORE_LOCATION_9,UB,Upper bank,ACROSS_SHORE_LOCATION_7,Index,Polaris
ACROSS_SHORE_LOCATION_10,LB,Lower bank,ACROSS_SHORE_LOCATION_7,Index,Polaris
ACROSS_SHORE_LOCATION_11,MS,Mid-stream,ACROSS_SHORE_LOCATION_7,Index,Polaris
ACROSS_SHORE_LOCATION_12,Swash Zone (Lake),,ACROSS_SHORE_LOCATION_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
ACROSS_SHORE_LOCATION_13,SSZ,Supra swash zone,ACROSS_SHORE_LOCATION_12,Index,Polaris
ACROSS_SHORE_LOCATION_14,USZ,Upper swash zone,ACROSS_SHORE_LOCATION_12,Index,Polaris
ACROSS_SHORE_LOCATION_15,LSZ,Lower swash zone,ACROSS_SHORE_LOCATION_12,Index,Polaris
