conceptid,Value,Valuetype,Provider
ACROSS_SHORE_LOCATION_1,1,sortorder,Polaris
ACROSS_SHORE_LOCATION_2,2,sortorder,Polaris
ACROSS_SHORE_LOCATION_3,3,sortorder,Polaris
ACROSS_SHORE_LOCATION_4,4,sortorder,Polaris
ACROSS_SHORE_LOCATION_5,5,sortorder,Polaris
ACROSS_SHORE_LOCATION_6,6,sortorder,Polaris
ACROSS_SHORE_LOCATION_7,7,sortorder,Polaris
ACROSS_SHORE_LOCATION_8,8,sortorder,Polaris
ACROSS_SHORE_LOCATION_9,9,sortorder,Polaris
ACROSS_SHORE_LOCATION_10,10,sortorder,Polaris
ACROSS_SHORE_LOCATION_11,11,sortorder,Polaris
ACROSS_SHORE_LOCATION_12,12,sortorder,Polaris
ACROSS_SHORE_LOCATION_13,13,sortorder,Polaris
ACROSS_SHORE_LOCATION_14,14,sortorder,Polaris
ACROSS_SHORE_LOCATION_15,15,sortorder,Polaris
