conceptid,Value,Valuetype,Provider
BACKSHORE_1,11,sortorder,Polaris
BACKSHORE_3,12,sortorder,Polaris
BACKSHORE_4,13,sortorder,Polaris
BACKSHORE_5,14,sortorder,Polaris
BACKSHORE_6,15,sortorder,Polaris
BACKSHORE_7,16,sortorder,Polaris
BACKSHORE_8,17,sortorder,Polaris
BACKSHORE_9,18,sortorder,Polaris
BACKSHORE_10,19,sortorder,Polaris
BACKSHORE_11,20,sortorder,Polaris
BACKSHORE_12,21,sortorder,Polaris
BACKSHORE_13,22,sortorder,Polaris
BACKSHORE_14,23,sortorder,Polaris
BACKSHORE_15,24,sortorder,Polaris
BACKSHORE_16,25,sortorder,Polaris
BACKSHORE_17,26,sortorder,Polaris
BACKSHORE_18,27,sortorder,Polaris
BACKSHORE_19,28,sortorder,Polaris
BACKSHORE_20,29,sortorder,Polaris
BACKSHORE_21,30,sortorder,Polaris
BACKSHORE_22,31,sortorder,Polaris
BACKSHORE_23,32,sortorder,Polaris
BACKSHORE_24,33,sortorder,Polaris
BACKSHORE_25,34,sortorder,Polaris
BACKSHORE_26,35,sortorder,Polaris
BACKSHORE_27,36,sortorder,Polaris
BACKSHORE_28,37,sortorder,Polaris
BACKSHORE_29,38,sortorder,Polaris
BACKSHORE_30,39,sortorder,Polaris
BACKSHORE_31,40,sortorder,Polaris
