conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
BAR-SHOAL_SUBSTRATE_1,Mud/Silt,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_2,Sand,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_3,Granule,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_4,Pebble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_5,Cobble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_6,Boulder,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_7,Sand/Granule,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_8,Sand/Granule/Pebble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_9,Pebble/Cobble,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_10,Cobble/Boulder,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_11,Bedrock,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
BAR-SHOAL_SUBSTRATE_12,Debris,,BAR-SHOAL_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
