conceptid,Value,Valuetype,Provider
BAR-SHOAL_SUBSTRATE_1,11,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_2,12,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_3,13,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_4,14,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_5,15,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_6,16,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_7,17,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_8,18,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_9,19,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_10,20,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_11,21,sortorder,Polaris
BAR-SHOAL_SUBSTRATE_12,22,sortorder,Polaris
