conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
CLEANUP_RECOMMENDATIONS_1,Passive collection using snare/sorbent,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_2,Flushing and passive collection,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_3,High pressure washing and passive collection,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_4,Manual wiping with sorbent pads/wipes,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_5,Manual removal with small hand tools,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_6,Manual removal with shovels/rakes,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_7,Manual tilling with rakes,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_8,Vegetation cutting and removal,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_9,Mechanical tilling,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_10,Mechanical removal,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
CLEANUP_RECOMMENDATIONS_11,Burning,,CLEANUP_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
