conceptid,Value,Valuetype,Provider
ESI_1,11,sortorder,Polaris
ESI_2,12,sortorder,Polaris
ESI_3,13,sortorder,Polaris
ESI_4,14,sortorder,Polaris
ESI_5,15,sortorder,Polaris
ESI_6,16,sortorder,Polaris
ESI_7,17,sortorder,Polaris
ESI_8,18,sortorder,Polaris
ESI_9,19,sortorder,Polaris
ESI_10,20,sortorder,Polaris
ESI_11,21,sortorder,Polaris
ESI_12,22,sortorder,Polaris
ESI_13,23,sortorder,Polaris
ESI_14,24,sortorder,Polaris
ESI_15,25,sortorder,Polaris
ESI_16,26,sortorder,Polaris
ESI_17,27,sortorder,Polaris
ESI_18,28,sortorder,Polaris
ESI_19,29,sortorder,Polaris
ESI_20,30,sortorder,Polaris
ESI_21,31,sortorder,Polaris
ESI_22,32,sortorder,Polaris
ESI_23,33,sortorder,Polaris
ESI_24,34,sortorder,Polaris
ESI_25,35,sortorder,Polaris
ESI_26,36,sortorder,Polaris
ESI_27,37,sortorder,Polaris
ESI_28,38,sortorder,Polaris
ESI_29,39,sortorder,Polaris
ESI_30,40,sortorder,Polaris
ESI_31,41,sortorder,Polaris
ESI_32,42,sortorder,Polaris
ESI_33,43,sortorder,Polaris
ESI_34,44,sortorder,Polaris
ESI_35,45,sortorder,Polaris
ESI_36,46,sortorder,Polaris
ESI_37,47,sortorder,Polaris
ESI_38,48,sortorder,Polaris
ESI_39,49,sortorder,Polaris
ESI_40,50,sortorder,Polaris
ESI_41,51,sortorder,Polaris
ESI_42,52,sortorder,Polaris
ESI_43,53,sortorder,Polaris
ESI_44,54,sortorder,Polaris
ESI_45,55,sortorder,Polaris
ESI_46,56,sortorder,Polaris
ESI_47,57,sortorder,Polaris
ESI_48,58,sortorder,Polaris
ESI_49,59,sortorder,Polaris
ESI_50,60,sortorder,Polaris
ESI_51,61,sortorder,Polaris
ESI_52,62,sortorder,Polaris
ESI_53,63,sortorder,Polaris
ESI_54,64,sortorder,Polaris
ESI_55,65,sortorder,Polaris
ESI_56,66,sortorder,Polaris
ESI_57,67,sortorder,Polaris
ESI_58,68,sortorder,Polaris
ESI_59,69,sortorder,Polaris
ESI_60,70,sortorder,Polaris
ESI_61,71,sortorder,Polaris
ESI_62,72,sortorder,Polaris
ESI_63,73,sortorder,Polaris
ESI_64,74,sortorder,Polaris
