conceptid,Value,Valuetype,Provider
FEATURE_1,11,sortorder,Polaris
FEATURE_2,12,sortorder,Polaris
FEATURE_3,13,sortorder,Polaris
FEATURE_4,14,sortorder,Polaris
FEATURE_5,15,sortorder,Polaris
FEATURE_6,16,sortorder,Polaris
FEATURE_7,17,sortorder,Polaris
FEATURE_8,18,sortorder,Polaris
FEATURE_9,19,sortorder,Polaris
FEATURE_10,20,sortorder,Polaris
FEATURE_11,21,sortorder,Polaris
FEATURE_12,22,sortorder,Polaris
FEATURE_13,23,sortorder,Polaris
FEATURE_14,24,sortorder,Polaris
FEATURE_15,25,sortorder,Polaris
FEATURE_16,26,sortorder,Polaris
FEATURE_17,27,sortorder,Polaris
FEATURE_18,28,sortorder,Polaris
FEATURE_19,29,sortorder,Polaris
FEATURE_20,30,sortorder,Polaris
FEATURE_21,31,sortorder,Polaris
