conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
PIT_SUBSTRATE_1,Peat/Organics,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_2,Mud,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_3,Sand,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_4,Granule,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_5,Pebble,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_6,Cobble,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_7,Boulder,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_8,Mud/Sand,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_9,Sand/Granule,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_10,Sand/Granule/Pebble,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_11,Pebble/Cobble,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_12,Cobble/Boulder,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_13,RipRap,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_SUBSTRATE_14,Other,,PIT_SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
