conceptid,Value,Valuetype,Provider
PIT_SUBSTRATE_1,11,sortorder,Polaris
PIT_SUBSTRATE_2,12,sortorder,Polaris
PIT_SUBSTRATE_3,13,sortorder,Polaris
PIT_SUBSTRATE_4,14,sortorder,Polaris
PIT_SUBSTRATE_5,15,sortorder,Polaris
PIT_SUBSTRATE_6,16,sortorder,Polaris
PIT_SUBSTRATE_7,17,sortorder,Polaris
PIT_SUBSTRATE_8,18,sortorder,Polaris
PIT_SUBSTRATE_9,19,sortorder,Polaris
PIT_SUBSTRATE_10,20,sortorder,Polaris
PIT_SUBSTRATE_11,21,sortorder,Polaris
PIT_SUBSTRATE_12,22,sortorder,Polaris
PIT_SUBSTRATE_13,23,sortorder,Polaris
PIT_SUBSTRATE_14,24,sortorder,Polaris
