conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
POTENTIAL_TREATMENT_OPTIONS_1,1. Natural recovery,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_2,2. Flooding,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_3,"3. Low-pressure, cold wash",,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_4,"4. Low-pressure, hot/warm wash",,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_5,"5. High-pressure, cold wash",,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_6,"6. High-pressure, hot/warm wash",,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_7,7. Steam cleaning,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_8,8. Sandblasting,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_9,9. Manual removal,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_10,10. Vacuums,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_11,11. Mechanical removal,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_12,12. Vegetation removal,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_13,13. Passive sorbent,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_14,14. Tilling/Aeration,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_15,15. Surf washing/Sediment reworking,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_16,16. Burning,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_17,17. Dispersants,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_18,18. Shoreline cleaners,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_19,19. Solidifiers,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
POTENTIAL_TREATMENT_OPTIONS_20,20. Bioremediation/Nutrient enrichment,,POTENTIAL_TREATMENT_OPTIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
