conceptid,Value,Valuetype,Provider
POTENTIAL_TREATMENT_OPTIONS_1,11,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_2,12,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_3,13,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_4,14,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_5,15,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_6,16,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_7,17,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_8,18,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_9,19,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_10,20,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_11,21,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_12,22,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_13,23,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_14,24,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_15,25,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_16,26,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_17,27,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_18,28,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_19,29,sortorder,Polaris
POTENTIAL_TREATMENT_OPTIONS_20,30,sortorder,Polaris
