conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_1,Not Applicable,NA,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_2,Clay/Mud,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_3,Sand,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_4,Sand/Granule/Pebble,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_5,Pebble/Cobble,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_6,Cobble/Boulder,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_7,Boulder,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_8,Bedrock,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_9,Vegetation,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_10,Manmade: Impermeable,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_11,Manmade: Permeable,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_12,Rubble (Riprap),,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_13,Seawall/Sheet,,PRIMARY_ BACKSHORE_SUBSTRATE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
