conceptid,Value,Valuetype,Provider
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_1,11,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_2,12,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_3,13,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_4,14,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_5,15,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_6,16,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_7,17,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_8,18,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_9,19,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_10,20,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_11,21,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_12,22,sortorder,Polaris
PRIMARY_BACKSHORE_SUBSTRATE_TYPE_13,23,sortorder,Polaris
