conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SAFETY_CONCERNS_1,None,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_2,"Slips, trips, falls",,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_3,Heat stress,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_4,Cold stress,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_5,Heavy machinery,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_6,Working in water,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_7,Limited access/facilities,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_8,Remote,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_9,Boat transportation,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAFETY_CONCERNS_10,Other,,SAFETY_CONCERNS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
