conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SCAT_STATUS_1,NOO,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_2,NFT,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_3,Monitor and Maintenance,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_4,STR (General),,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_5,STR (Specific),,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_6,STR (Continue),,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_7,Environmental Hold,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_8,Land Owner Visit - NFT,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_9,Land Owner Visit - Treatment Requested,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_10,Final Signoff - Passed,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_11,Final Signoff - Failed,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_12,Pre-Inspection NFT,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_13,Land Owner Visit - NOO,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_14,Access Prohibited,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_15,SIR1,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_16,SIR2,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_17,SIR UC Approved,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_18,PIST,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SCAT_STATUS_19,Partitioned,,SCAT_STATUS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
