conceptid,Value,Valuetype,Provider
SCAT_STATUS_1,11,sortorder,Polaris
SCAT_STATUS_2,12,sortorder,Polaris
SCAT_STATUS_3,13,sortorder,Polaris
SCAT_STATUS_4,14,sortorder,Polaris
SCAT_STATUS_5,15,sortorder,Polaris
SCAT_STATUS_6,16,sortorder,Polaris
SCAT_STATUS_7,17,sortorder,Polaris
SCAT_STATUS_8,18,sortorder,Polaris
SCAT_STATUS_9,19,sortorder,Polaris
SCAT_STATUS_10,20,sortorder,Polaris
SCAT_STATUS_11,21,sortorder,Polaris
SCAT_STATUS_12,22,sortorder,Polaris
SCAT_STATUS_13,23,sortorder,Polaris
SCAT_STATUS_14,24,sortorder,Polaris
SCAT_STATUS_15,25,sortorder,Polaris
SCAT_STATUS_16,26,sortorder,Polaris
SCAT_STATUS_17,27,sortorder,Polaris
SCAT_STATUS_18,28,sortorder,Polaris
SCAT_STATUS_19,29,sortorder,Polaris
