conceptid,Value,Valuetype,Provider
SHORELINE_1,11,sortorder,Polaris
SHORELINE_2,12,sortorder,Polaris
SHORELINE_3,13,sortorder,Polaris
SHORELINE_4,14,sortorder,Polaris
SHORELINE_5,15,sortorder,Polaris
SHORELINE_6,16,sortorder,Polaris
SHORELINE_7,17,sortorder,Polaris
SHORELINE_8,18,sortorder,Polaris
SHORELINE_9,19,sortorder,Polaris
SHORELINE_10,20,sortorder,Polaris
SHORELINE_11,21,sortorder,Polaris
SHORELINE_12,22,sortorder,Polaris
SHORELINE_13,23,sortorder,Polaris
SHORELINE_14,24,sortorder,Polaris
SHORELINE_15,25,sortorder,Polaris
SHORELINE_16,26,sortorder,Polaris
SHORELINE_17,27,sortorder,Polaris
SHORELINE_18,28,sortorder,Polaris
SHORELINE_19,29,sortorder,Polaris
SHORELINE_20,30,sortorder,Polaris
SHORELINE_21,31,sortorder,Polaris
SHORELINE_22,32,sortorder,Polaris
SHORELINE_23,33,sortorder,Polaris
SHORELINE_24,34,sortorder,Polaris
SHORELINE_25,35,sortorder,Polaris
SHORELINE_26,36,sortorder,Polaris
SHORELINE_27,37,sortorder,Polaris
SHORELINE_28,38,sortorder,Polaris
SHORELINE_29,39,sortorder,Polaris
SHORELINE_30,40,sortorder,Polaris
SHORELINE_31,41,sortorder,Polaris
SHORELINE_32,42,sortorder,Polaris
SHORELINE_33,43,sortorder,Polaris
SHORELINE_34,44,sortorder,Polaris
SHORELINE_35,45,sortorder,Polaris
SHORELINE_36,46,sortorder,Polaris
SHORELINE_37,47,sortorder,Polaris
SHORELINE_38,48,sortorder,Polaris
SHORELINE_39,49,sortorder,Polaris
SHORELINE_40,50,sortorder,Polaris
SHORELINE_41,51,sortorder,Polaris
SHORELINE_42,52,sortorder,Polaris
SHORELINE_43,53,sortorder,Polaris
SHORELINE_44,54,sortorder,Polaris
SHORELINE_45,55,sortorder,Polaris
SHORELINE_46,56,sortorder,Polaris
SHORELINE_47,57,sortorder,Polaris
SHORELINE_48,58,sortorder,Polaris
SHORELINE_49,59,sortorder,Polaris
SHORELINE_50,60,sortorder,Polaris
SHORELINE_51,61,sortorder,Polaris
SHORELINE_52,62,sortorder,Polaris
SHORELINE_53,63,sortorder,Polaris
SHORELINE_54,64,sortorder,Polaris
SHORELINE_55,65,sortorder,Polaris
SHORELINE_56,66,sortorder,Polaris
SHORELINE_57,67,sortorder,Polaris
SHORELINE_58,68,sortorder,Polaris
SHORELINE_59,69,sortorder,Polaris
SHORELINE_60,70,sortorder,Polaris
SHORELINE_61,71,sortorder,Polaris
SHORELINE_62,72,sortorder,Polaris
SHORELINE_63,73,sortorder,Polaris
SHORELINE_64,74,sortorder,Polaris
SHORELINE_65,75,sortorder,Polaris
SHORELINE_66,76,sortorder,Polaris
SHORELINE_67,77,sortorder,Polaris
SHORELINE_68,78,sortorder,Polaris
SHORELINE_69,79,sortorder,Polaris
SHORELINE_70,80,sortorder,Polaris
SHORELINE_71,81,sortorder,Polaris
SHORELINE_72,82,sortorder,Polaris
SHORELINE_73,83,sortorder,Polaris
SHORELINE_74,84,sortorder,Polaris
SHORELINE_75,85,sortorder,Polaris
