conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SNOW_OR_ICE_CONDITION_TYPE_1,1. Across Shore Location (L/M/U/S),,SNOW_OR_ICE_CONDITION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_2,Snow,,SNOW_OR_ICE_CONDITION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
SNOW_OR_ICE_CONDITION_TYPE_3,2. Cover (%),,SNOW_OR_ICE_CONDITION_TYPE_2,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_4,3. Thickness (cm),,SNOW_OR_ICE_CONDITION_TYPE_2,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_5,4. Fresh? (YES/NO),,SNOW_OR_ICE_CONDITION_TYPE_2,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_6,5. Compacted? (YES/NO),,SNOW_OR_ICE_CONDITION_TYPE_2,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_7,Frozen Spray/Frozen Swash/Ice Foot/Ice Push Ridge,,SNOW_OR_ICE_CONDITION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
SNOW_OR_ICE_CONDITION_TYPE_8,2. Width (m),,SNOW_OR_ICE_CONDITION_TYPE_7,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_9,3. Thickness (cm),,SNOW_OR_ICE_CONDITION_TYPE_7,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_10,Grounded Floes,,SNOW_OR_ICE_CONDITION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
SNOW_OR_ICE_CONDITION_TYPE_11,2. Avg. Length (m),,SNOW_OR_ICE_CONDITION_TYPE_10,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_12,3. Avg. Thickness (cm),,SNOW_OR_ICE_CONDITION_TYPE_10,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_13,Glacier Ice,,SNOW_OR_ICE_CONDITION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
SNOW_OR_ICE_CONDITION_TYPE_14,2. Height of ice front (m),,SNOW_OR_ICE_CONDITION_TYPE_13,Index,Polaris
SNOW_OR_ICE_CONDITION_TYPE_15,3. Floating front (YES/NO),,SNOW_OR_ICE_CONDITION_TYPE_13,Index,Polaris
