conceptid,Value,Valuetype,Provider
SNOW_OR_ICE_CONDITION_TYPE_1,11,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_2,12,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_3,13,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_4,14,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_5,15,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_6,16,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_7,17,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_8,18,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_9,19,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_10,20,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_11,21,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_12,22,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_13,23,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_14,24,sortorder,Polaris
SNOW_OR_ICE_CONDITION_TYPE_15,25,sortorder,Polaris
