conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SUBSTRATE_1,Mud,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_2,Peat/Organics,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_3,Sand,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_4,Shell Hash,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_5,Granule,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_6,Pebble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_7,Cobble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_8,Boulder,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_9,Sand/Granule,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_10,Sand/Granule/Pebble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_11,Pebble/Cobble,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_12,Cobble/Boulder,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_13,Bedrock,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_14,Riprap,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_15,Piling,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_16,Seawall/Sheet,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_17,Manmade: Impermeable,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_18,Manmade: Permeable,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_19,Vegetation,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_20,Trees/shrubs,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_21,Mangrove,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_22,Other,,SUBSTRATE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
