conceptid,Value,Valuetype,Provider
SUBSTRATE_1,11,sortorder,Polaris
SUBSTRATE_2,12,sortorder,Polaris
SUBSTRATE_3,13,sortorder,Polaris
SUBSTRATE_4,14,sortorder,Polaris
SUBSTRATE_5,15,sortorder,Polaris
SUBSTRATE_6,16,sortorder,Polaris
SUBSTRATE_7,17,sortorder,Polaris
SUBSTRATE_8,18,sortorder,Polaris
SUBSTRATE_9,19,sortorder,Polaris
SUBSTRATE_10,20,sortorder,Polaris
SUBSTRATE_11,21,sortorder,Polaris
SUBSTRATE_12,22,sortorder,Polaris
SUBSTRATE_13,23,sortorder,Polaris
SUBSTRATE_14,24,sortorder,Polaris
SUBSTRATE_15,25,sortorder,Polaris
SUBSTRATE_16,26,sortorder,Polaris
SUBSTRATE_17,27,sortorder,Polaris
SUBSTRATE_18,28,sortorder,Polaris
SUBSTRATE_19,29,sortorder,Polaris
SUBSTRATE_20,30,sortorder,Polaris
SUBSTRATE_21,31,sortorder,Polaris
SUBSTRATE_22,32,sortorder,Polaris
