conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SUBSTRATE_DRY_1,Mud,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_2,Sand,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_3,Shell Hash,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_4,Granule,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_5,Pebble,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_6,Cobble,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_7,Boulder,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_8,Mud/Sand/Granule,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_9,Pebble/Cobble,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_10,Cobble/Boulder,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_11,Vegetation,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SUBSTRATE_DRY_12,Other,,SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
