conceptid,Value,Valuetype,Provider
WATER_LEVEL_1,11,sortorder,Polaris
WATER_LEVEL_2,12,sortorder,Polaris
WATER_LEVEL_3,13,sortorder,Polaris
WATER_LEVEL_4,14,sortorder,Polaris
WATER_LEVEL_5,15,sortorder,Polaris
WATER_LEVEL_6,16,sortorder,Polaris
WATER_LEVEL_7,17,sortorder,Polaris
WATER_LEVEL_8,18,sortorder,Polaris
WATER_LEVEL_9,19,sortorder,Polaris
WATER_LEVEL_10,20,sortorder,Polaris
WATER_LEVEL_11,21,sortorder,Polaris
WATER_LEVEL_12,22,sortorder,Polaris
WATER_LEVEL_13,23,sortorder,Polaris
WATER_LEVEL_14,24,sortorder,Polaris
