uid|conceptid|preflabel|AltLabels|ParentConceptid|ConceptType|Provider|Concept_id|Authority_doc_path
170a5d7d-d783-49e9-8ee6-32a5215ab685|SURVEYED_AREAS_NOO_1|YES|Primary|SURVEYED_AREAS_NOO_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SURVEYED_AREAS_NOO.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SURVEYED_AREAS_NOO_AUTHORITY_DOCUMENT.E32.csv
8c056bfc-62d7-4e8a-a8a0-0951a38c546a|SURVEYED_AREAS_NOO_2|NO|Primary|SURVEYED_AREAS_NOO_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SURVEYED_AREAS_NOO.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SURVEYED_AREAS_NOO_AUTHORITY_DOCUMENT.E32.csv
e102a2e1-8565-4c2e-b51f-104d5783d8da|OILING_CATEGORY_1|NOO||OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|PIT_OILING_CATEGORY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv
6ac66029-1eab-4967-8121-1f2bab6a528f|OILING_CATEGORY_2|DISCREET-LOW||OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|PIT_OILING_CATEGORY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv
59e88a23-9f65-43d1-8974-16188a847e86|OILING_CATEGORY_3|DISCREET-ELEVATED||OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|PIT_OILING_CATEGORY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv
5a3e1f00-52c2-4ae4-b139-3d9f3d2271b0|OILING_CATEGORY_4|VERY LIGHT||OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|PIT_OILING_CATEGORY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv
8daf989f-cb92-4cb2-9bdc-0390de1e7f90|OILING_CATEGORY_5|LIGHT||OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|PIT_OILING_CATEGORY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv
c3a92a3d-723e-4da1-b554-32cd2190c246|OILING_CATEGORY_6|MODERATE||OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|PIT_OILING_CATEGORY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv
f2ca892e-5076-40b8-8fa5-fe1acb39969e|OILING_CATEGORY_7|HEAVY||OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|PIT_OILING_CATEGORY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILING_CATEGORY_AUTHORITY_DOCUMENT.E32.csv
c4328175-c7de-418a-acff-b26d75ed5ee7|FORESTED_OR_BARE_1|Forested||BACKSHORE_VEGETATION_COVER_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BACKSHORE_VEGETATION_COVER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\BACKSHORE_VEGETATION_COVER_AUTHORITY_DOCUMENT.E32.csv
21a5bb60-6f76-4ff3-b2e1-aa7f29047d91|FORESTED_OR_BARE_2|Vegetated||BACKSHORE_VEGETATION_COVER_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BACKSHORE_VEGETATION_COVER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\BACKSHORE_VEGETATION_COVER_AUTHORITY_DOCUMENT.E32.csv
7cc17d75-2945-4289-a341-0a40dddfc56c|FORESTED_OR_BARE_3|Bare||BACKSHORE_VEGETATION_COVER_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BACKSHORE_VEGETATION_COVER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\BACKSHORE_VEGETATION_COVER_AUTHORITY_DOCUMENT.E32.csv
25ca9aa4-445c-4ef7-a6e1-2e2379adfc30|HEAVY_EQ_FEASIBILITY_TYPE_1|Good||HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY_TYPE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv
ce733687-a391-4eb0-9efd-ce9ef6284ae0|HEAVY_EQ_FEASIBILITY_TYPE_2|Fair||HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY_TYPE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv
5b75cb22-e57e-4736-bd69-f6354f4959ba|HEAVY_EQ_FEASIBILITY_TYPE_3|Poor||HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY_TYPE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv
eeb03a16-512e-4f57-a357-2f6210e6a107|HEAVY_EQ_FEASIBILITY_TYPE_4|No||HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY_TYPE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_TYPE_AUTHORITY_DOCUMENT.E32.csv
d7272b14-9cb0-40c1-8dc1-33e234a61d1d|WEATHER_TYPE_1|Sun||WEATHER_AUTHORITY_DOCUMENT.E32.csv|Index|FGI|WEATHER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\WEATHER_AUTHORITY_DOCUMENT.E32.csv
cbd9cb60-95c5-4642-8c31-61b3dd7cb429|WEATHER_TYPE_2|Clouds||WEATHER_AUTHORITY_DOCUMENT.E32.csv|Index|FGI|WEATHER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\WEATHER_AUTHORITY_DOCUMENT.E32.csv
4ab0ea83-9f89-46ea-adee-412a16e4fff0|WEATHER_TYPE_3|Fog||WEATHER_AUTHORITY_DOCUMENT.E32.csv|Index|FGI|WEATHER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\WEATHER_AUTHORITY_DOCUMENT.E32.csv
1b81b462-6c83-492f-a936-aa0a1e38e4fe|WEATHER_TYPE_4|Rain||WEATHER_AUTHORITY_DOCUMENT.E32.csv|Index|FGI|WEATHER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\WEATHER_AUTHORITY_DOCUMENT.E32.csv
6c431489-0858-41ef-837a-4d6da9096572|WEATHER_TYPE_5|Snow||WEATHER_AUTHORITY_DOCUMENT.E32.csv|Index|FGI|WEATHER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\WEATHER_AUTHORITY_DOCUMENT.E32.csv
ad30bc3c-5575-4a6f-bac9-711d53443da5|WEATHER_TYPE_6|Wind||WEATHER_AUTHORITY_DOCUMENT.E32.csv|Index|FGI|WEATHER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\WEATHER_AUTHORITY_DOCUMENT.E32.csv
09532761-604d-4268-8e1f-b4b77dc64b34|WEATHER_TYPE_7|Calm||WEATHER_AUTHORITY_DOCUMENT.E32.csv|Index|FGI|WEATHER.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\WEATHER_AUTHORITY_DOCUMENT.E32.csv
7f455e6b-9510-45ac-b5c0-c7f4309faee0|OILED_PLANT_PARTS_1|Base||OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|OILED_PLANT_PARTS.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv
9cd5a0bf-ccad-4668-b162-ee84111df1aa|OILED_PLANT_PARTS_2|Trunk||OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|OILED_PLANT_PARTS.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv
ae0e1c89-ec94-4b51-85e0-b9fba3f3b9ff|OILED_PLANT_PARTS_3|Stem||OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|OILED_PLANT_PARTS.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv
b50655b5-9030-4bc8-a0d2-1d4db5ae7d61|OILED_PLANT_PARTS_4|Leaf||OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|OILED_PLANT_PARTS.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv
e8539cec-bb76-4318-8373-845f2bec8e93|OILED_PLANT_PARTS_5|Flower||OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|OILED_PLANT_PARTS.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\OILED_PLANT_PARTS_AUTHORITY_DOCUMENT.E32.csv
8f1f0f49-51a9-4156-8aa9-df5f729743ab|HEAVY_EQ_FEASIBILITY_1|1. Grader||HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv
88bbb028-2ada-4904-9935-2a1566dfa9c9|HEAVY_EQ_FEASIBILITY_2|2. Bulldozer||HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv
95427cc1-1ede-4e00-a331-1d7742976e12|HEAVY_EQ_FEASIBILITY_3|3. Front-end Loader||HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv
cf379a1f-a4f6-4a29-ac89-057b78bfd73a|HEAVY_EQ_FEASIBILITY_4|4. Backhoe||HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv
7d7e8c51-c2f2-4430-90cd-33a5e64b7367|HEAVY_EQ_FEASIBILITY_5|5. Bobcat||HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv
5401d588-9e73-4b68-a9ad-d511fd911b8d|HEAVY_EQ_FEASIBILITY_6|6. Pickup (4x4)||HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv
bc2ba6f4-c11e-4030-88be-89d7d2cd35e1|HEAVY_EQ_FEASIBILITY_7|7. ATV||HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|BEACH_SLOPE_HEAVY_EQ_FEASIBILITY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\HEAVY_EQ_FEASIBILITY_AUTHORITY_DOCUMENT.E32.csv
a65caa1f-f3ca-4e21-b749-017291042378|BOOLEAN_1|YES||BOOLEAN_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SITE_ACCESS_INTERTIDAL_TYPE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\BOOLEAN_AUTHORITY_DOCUMENT.E32.csv
27b1a838-1f8d-449a-8e3a-7d88d80eb17a|BOOLEAN_2|NO||BOOLEAN_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SITE_ACCESS_INTERTIDAL_TYPE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\BOOLEAN_AUTHORITY_DOCUMENT.E32.csv
4668fed9-a5cd-40d1-8146-d625a1e71fbe|BOOLEAN_3|UNKNOWN||BOOLEAN_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SITE_ACCESS_INTERTIDAL_TYPE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\BOOLEAN_AUTHORITY_DOCUMENT.E32.csv
3ecfb3e7-62dc-431e-91ca-d6002fe6501d|ESTIMATED_CHANGE_1|Rising||ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|ESTIMATED_WATER_CHANGE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv
351b6787-5695-49d7-a6b5-3d01a07ec23f|ESTIMATED_CHANGE_2|Falling||ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|ESTIMATED_WATER_CHANGE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv
34770740-7002-4ed7-be6e-745e62ab1205|ESTIMATED_CHANGE_3|Same||ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|ESTIMATED_WATER_CHANGE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv
fafee95c-8457-424f-a570-7531e4075d1a|ESTIMATED_CHANGE_4|Unknown||ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|ESTIMATED_WATER_CHANGE.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv
2cb37425-ae1f-481d-8fc8-5fdc5127639a|SUBSTRATE_DRY_1|Mud||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
4241e470-e1cb-465e-a87b-9f2d89f82e34|SUBSTRATE_DRY_2|Sand||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
14342916-391b-421d-98a9-9eea5136bc1c|SUBSTRATE_DRY_3|Shell Hash||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
544a01da-6230-4bed-9e42-94b30fa9a9a7|SUBSTRATE_DRY_4|Granule||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
429787e7-eca3-42d8-973c-4fb88ce5d5b9|SUBSTRATE_DRY_5|Pebble||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
0ce63bb3-7749-401b-96df-014a46ae581e|SUBSTRATE_DRY_6|Cobble||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
1c88d678-95b7-42c8-b7b0-3f3d4afb6f5a|SUBSTRATE_DRY_7|Boulder||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
e9f092ff-7e50-4330-b5c5-fac4e596185b|SUBSTRATE_DRY_8|Mud/Sand/Granule||SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv|Index|Polaris|SUBSTRATE_DRY.E55|C:\Users\sgmur\Documents\GitHub\Authority_UUID\concepts\authority_files\SUBSTRATE_WETNESS_AUTHORITY_DOCUMENT.E32.csv
